column_name,description,demographic,sdoh_raw,outcome,sdoh_score,data_type,used_sdoh_1,used_sdoh_2,used_sdoh_3,used_sdoh_4,used_sdoh_5,used_sdoh_6,source,higher_better,modifiable,Notes,Interventions,sdoh_Category,PC_Number,Variance_Explained,Loading,weight
pct_deep_poverty,% Persons in Deep Poverty,1,0,0,0,percentage,1,0,0,0,0,0,AHRF,0.0,,,,,,,,
pct_insufficient_sleep,Percentage of adults who report fewer than 7 hours of sleep on average,0,1,0,0,percentage,0,0,0,0,1,0,RWJF,0.0,1.0,,,,,,,
pct_good_air,% good air quality days,0,1,0,0,percentage,0,1,0,0,0,0,AHRF,1.0,1.0,,,2.0,13.0,0.022,-0.958397073072221,0.024915062287655717
pop_dens,Population density per square mile,1,0,0,0,rate,0,0,0,0,0,0,AHRF,,,,,,,,,
pct_long_commute_drives_alone,"Among workers who commute in their car alone, the percentage that commute more than 30 minutes",0,1,0,0,percentage,0,1,0,0,0,0,RWJF,0.0,,Also considered for SDoH 5,,2.0,3.0,0.111,0.9600484587141692,0.12570781426953564
chronic_kidney_disease_pct,Percentage of Medicare beneficiaries (65+) with chronic kidney disease,0,0,1,0,percentage,0,0,0,0,0,0,CMS,0.0,,,,,,,,
pct_nonhispanic_white,Percentage of population that is non-Hispanic White,1,0,0,0,percentage,0,0,0,0,0,0,RWJF,,,,,,,,,
pct_not_proficient_in_english,Percentage of population that is not proficient in English,1,0,0,0,percentage,0,0,0,0,0,0,RWJF,0.0,,,,,,,,
pct_obese,Percentage of the adult population (age 20 and older) that reports a body mass index (BMI) greater than or equal to 30 kg/m2,0,0,1,0,percentage,0,0,0,0,0,0,RWJF,0.0,,,,,,,,
pct_physically_inactive,Percentage of adults age 20 and over reporting no leisure-time physical activity.,0,1,0,0,percentage,0,1,0,0,0,0,RWJF,0.0,1.0,"Opted to keep this as a SDoH and not a health outcome, since it is more tangible & there are clear ways of addressing it directly",,2.0,1.0,0.172,-0.961415065191942,0.19479048697621734
pct_rural,Percentage of population living in a rural area,1,0,0,0,percentage,0,0,0,0,0,0,RWJF,,,,,,,,,
chronic_kidney_disease_std_spend,Medicare per capita standardized spending on chronic kidney disease,0,0,1,0,continuous,0,0,0,0,0,0,CMS,0.0,1.0,,,,,,,
pct_severe_housing_cost_burden,Percentage of households that spend 50% or more of their household income on housing,1,0,0,0,percentage,1,0,0,0,0,0,RWJF,0.0,1.0,,,1.0,2.0,0.205,-0.970598059349611,0.26214833759590794
pct_severe_housing_problems,"Percentage of households with at least 1 of 4 housing problems: overcrowding, high housing costs, lack of kitchen facilities, or lack of plumbing facilities",1,0,0,0,percentage,0,1,0,0,0,0,RWJF,0.0,1.0,,,,,,,
pct_singleparent_households,Percentage of children that live in a household headed by single parent,1,0,0,0,percentage,0,0,0,0,1,0,RWJF,0.0,,,,,,,,
pct_smokers,Percentage of adults who are current smokers,0,1,0,0,percentage,0,0,0,0,1,0,RWJF,0.0,,,,,,,,
pct_some_college,Percentage of adults ages 25-44 with some post-secondary education,0,1,0,0,percentage,0,0,1,0,0,0,RWJF,1.0,,,,3.0,1.0,0.581,0.9756819819354,0.6322089227421109
pct_unemployed,Percentage of population ages 16 and older unemployed but seeking work,1,0,0,0,percentage,1,0,0,0,0,0,RWJF,0.0,,,,1.0,5.0,0.08199999999999999,0.9709409695865991,0.10485933503836316
pct_uninsured,Percentage of population under age 65 without health insurance,0,1,0,0,percentage,0,0,0,0,0,1,RWJF,0.0,1.0,,,6.0,1.0,0.246,0.654028350584272,0.13472016392283664
diabetes_pct,Percentage of Medicare beneficiaries (65+) with diabetes,0,0,1,0,percentage,0,0,0,0,0,0,CMS,0.0,,,,,,,,
diabetes_std_spend,Medicare per capita standardized spending on diabetes,0,1,1,0,continuous,0,0,0,0,0,0,CMS,0.0,1.0,,,,,,,
pct_lack_basic_literacy,Percentage lacking Basic prose literacy skills include those who scored Below Basic in prose and those who could not be tested due to language barriers.,1,0,0,0,percentage,0,0,1,0,0,0,NCES,0.0,,,,3.0,3.0,0.114,0.976662811023258,0.12404787812840044
adm_pp_rate,Admissions per person,1,0,0,0,continuous,0,0,0,0,0,0,AHRF,0.0,,,,,,,,
pct_children_in_poverty_hispanic,Percentage of hispanic people under age 18 in poverty,1,0,0,0,percentage,0,0,0,0,0,0,RWJF,0.0,,,,,,,,
average_daily_pm2.5,Average Daily PM2.5,0,1,0,0,continuous,0,1,0,0,0,0,RWJF,0.0,1.0,,,2.0,2.0,0.146,-0.9601637218960508,0.16534541336353334
budget_administrative,% of budget spent on Administrative and Financial Services Division,0,1,0,0,percentage,0,0,0,0,0,0,colorado.gov,1.0,1.0,,,,,,,
budget_air,% of budget spent on Air Pollution Control Division,0,1,0,0,percentage,0,1,0,0,0,0,colorado.gov,1.0,1.0,,,2.0,7.0,0.052000000000000005,0.9604468544225072,0.05889014722536805
budget_disease,% of budget spent on Disease Control and Environmental Epidemiology,0,1,0,0,percentage,0,0,0,0,0,1,colorado.gov,1.0,1.0,,,6.0,6.0,0.067,0.964130732767417,0.0776361529548088
budget_emergency,% of budget spent on Emergency Preparedness and Response Division,0,1,0,0,percentage,0,1,0,0,0,0,colorado.gov,1.0,1.0,,,2.0,8.0,0.046,-0.9592100142935028,0.05209513023782558
budget_environmental,% of budget spent on Environmental Health and Sustainability Division,0,1,0,0,percentage,0,1,0,0,0,0,colorado.gov,1.0,1.0,,,2.0,6.0,0.055,0.960266616744015,0.06228765571913927
budget_health_equity,% of budget spent on Office of Health Equity,0,1,0,0,percentage,0,0,0,0,1,0,colorado.gov,1.0,1.0,,,5.0,6.0,0.073,-0.9564293656025,0.08174692049272117
budget_health_info,% of budget spent on Center for Health and Environmental Information & Statistics,0,1,0,0,percentage,0,0,0,0,0,0,colorado.gov,1.0,1.0,,,,,,,
budget_health_svcs,% of budget spent on Health Facilities and Emergency Medical Services Division,0,1,0,0,percentage,0,0,0,0,0,1,colorado.gov,1.0,1.0,,,6.0,4.0,0.083,0.963862694654508,0.09617612977983776
budget_laboratory_svcs,% of budget spent on Laboratory Services Division,0,1,0,0,percentage,0,0,0,0,1,0,colorado.gov,1.0,1.0,,,5.0,5.0,0.08800000000000001,0.95576663424259,0.0985442329227324
budget_planning,% of budget spent on Office of Planning & Partnership,0,1,0,0,percentage,0,0,0,0,1,0,colorado.gov,1.0,1.0,,,5.0,3.0,0.099,0.9566722974450842,0.11086226203807392
budget_prevention,% of budget spent on Prevention Services Division,0,1,0,0,percentage,0,0,0,0,1,0,colorado.gov,1.0,1.0,,,5.0,7.0,0.054000000000000006,-0.9563169676640332,0.06047032474804032
budget_waste,% of budget spent on Hazardous Materials and Waste Management Division,0,1,0,0,percentage,0,0,0,0,0,0,colorado.gov,1.0,1.0,,,,,,,
budget_water,% of budget spent on Water Quality Control Division,0,1,0,0,percentage,0,1,0,0,0,0,colorado.gov,1.0,1.0,,,2.0,16.0,0.015,0.960179863728943,0.01698754246885617
pct_children_in_poverty_white,Percentage of white people under age 18 in poverty,1,0,0,0,percentage,0,0,0,0,0,0,RWJF,0.0,,,,,,,,
pct_food_insecure,% food insecure,0,1,0,0,percentage,0,0,0,1,0,0,RWJF,0.0,1.0,,,4.0,2.0,0.332,1.0124643705931602,0.33739837398373984
pct_homeowners,% homeowners,0,1,0,0,percentage,0,1,0,0,0,0,RWJF,1.0,,,,,,,,
comm_hlth_cntrs_pp_rate,Community Health Centers per person,0,1,0,0,rate,0,0,0,0,0,1,AHRF,1.0,1.0,,,,,,,
pct_lbw,Percentage of births with low birth weight (<2500g),0,1,0,0,percentage,0,0,0,0,0,0,RWJF,0.0,,,,,,,,
diab_hosp_rate_adj,"Age-Adjusted Diabetes Hospitalization Rate Per 100,000 Persons",0,0,1,0,rate,0,0,0,0,0,0,CDPHE,0.0,,,,,,,,
pct_limited_access,Percentage with limited access to healthy foods,0,1,0,0,percentage,0,0,0,1,0,0,RWJF,0.0,1.0,,,4.0,1.0,0.652,0.699899236985691,0.6626016260162602
pct_screened,Percentage of female Medicare enrollees having an annual mammogram (age 65-74),0,1,0,0,percentage,0,0,0,0,0,0,RWJF,1.0,1.0,,,,,,,
fips,FIPS code,0,0,0,0,ID,0,0,0,0,0,0,All,,,,,,,,,
county,County Name,0,0,0,0,ID,0,0,0,0,0,0,All,,,,,,,,,
state,State Name,0,0,0,0,ID,0,0,0,0,0,0,All,,,,,,,,,
food_environment_index,"Index of factors that contribute to a healthy food environment, 0 (worst) to 10 (best)",0,1,0,0,continuous,0,0,0,1,0,0,RWJF,1.0,1.0,,,,,,,
graduation_rate,Percentage of ninth-grade cohort that graduates in four years,0,1,0,0,percentage,0,0,1,0,0,0,RWJF,1.0,,,,3.0,2.0,0.224,0.975965542357153,0.24374319912948855
pct_vaccinated,Percentage of annual Medicare enrollees having an annual flu vaccination,0,1,0,0,percentage,0,0,0,0,0,0,RWJF,1.0,1.0,,,,,,,
pct_with_access,Percentage of the population with access to places for physical activity,0,1,0,0,percentage,0,1,0,0,0,0,RWJF,1.0,1.0,,,,,,,
ageadjusted_mortality,age-adjusted mortality,1,0,0,0,continuous,0,0,0,0,0,0,RWJF,0.0,,,,,,,,
injury_death_rate,"Number of deaths due to injury per 100,000 population",0,1,0,0,continuous,0,1,0,0,0,0,RWJF,0.0,1.0,,,,,,,
kidn_hosp_pp_rate,Kidney hospitals per person,0,1,0,0,rate,0,0,0,0,0,0,AHRF,1.0,1.0,,,,,,,
life_expectancy,Life expectancy,1,0,0,0,continuous,0,0,0,0,0,0,RWJF,1.0,,,,,,,,
mds_dos_pp_rate,MDs + DOs per person,0,1,0,0,rate,0,0,0,0,0,1,AHRF,1.0,1.0,,,6.0,7.0,0.059,0.963865704137507,0.06836616454229431
mentally_unhealthy_days,"Average number of mentally unhealthy days reported in the last 30 days, age-adjusted",0,1,0,0,continuous,0,0,0,0,1,0,RWJF,0.0,,,,5.0,1.0,0.348,0.715946799887707,0.3896976483762598
dentist_rate,"Dentists per 100,000 population",0,1,0,0,rate,0,0,0,0,0,1,RWJF,1.0,1.0,,,,,,,
inadequate_facilities,Percentage of households with lack of kitchen or plumbing facilities,0,1,0,0,percentage,0,1,0,0,0,0,RWJF,0.0,1.0,,,2.0,4.0,0.078,0.960130271788938,0.08833522083805208
overobese_pct,Percent of Adults who are Overweight,0,0,1,0,percentage,0,0,0,0,0,0,CDPHE,0.0,,,,,,,,
mhp_rate,"Mental Health Providers per 100,000 population",0,1,0,0,rate,0,0,0,0,0,1,RWJF,1.0,1.0,,,6.0,3.0,0.113,0.962824427803867,0.13093858632676708
overcrowding,Percentage of households with overcrowding,0,1,0,0,percentage,0,1,0,0,0,0,RWJF,0.0,,,,2.0,12.0,0.023,-0.960141030610524,0.02604756511891279
pcp_rate,"Primary Care Physicians per 100,000 population",0,1,0,0,rate,0,0,0,0,0,1,RWJF,1.0,1.0,,,6.0,8.0,0.052000000000000005,-0.9642602800301,0.06025492468134415
physically_unhealthy_days,Average number of physically unhealthy days reported in past 30 days (age-adjusted),0,1,0,0,continuous,0,0,0,0,0,0,RWJF,0.0,,,,,,,,
population,Population,1,0,0,0,continuous,0,0,0,0,0,0,RWJF,,,,,,,,,
preventable_hosp._rate,"Discharges for Ambulatory Care Sensitive Conditions per 100,000 Medicare Enrollees",0,1,0,0,rate,0,0,0,0,0,1,RWJF,0.0,1.0,,,6.0,5.0,0.081,0.9647838053197828,0.09385863267670913
pct_adult_uninsured,Percentage of adults without health insurance,0,1,0,0,percentage,0,0,0,0,0,1,RWJF,0.0,1.0,,,6.0,1.0,0.246,0.7298193076733019,0.15033197976198376
pct_child_uninsured,Percentag of children without health insurance,0,1,0,0,percentage,0,0,0,0,0,1,RWJF,0.0,1.0,,,,,,,
sdoh_score_1,Economic Stability,0,0,0,1,aggregate,0,0,0,0,0,0,Created,1.0,,,,,,,,
sdoh_score_2,Neighborhood & Physical Environment,0,0,0,1,aggregate,0,0,0,0,0,0,Created,1.0,,,,,,,,
sdoh_score_3,Education,0,0,0,1,aggregate,0,0,0,0,0,0,Created,1.0,,,,,,,,
sdoh_score_4,Food,0,0,0,1,aggregate,0,0,0,0,0,0,Created,1.0,,,,,,,,
sdoh_score_5,Community,0,0,0,1,aggregate,0,0,0,0,0,0,Created,1.0,,,,,,,,
sdoh_score_6,Health Care System,0,0,0,1,aggregate,0,0,0,0,0,0,Created,1.0,,,,,,,,
short_hosp_pp_rate,Short-term hospitals per person,0,1,0,0,rate,0,0,0,0,0,1,AHRF,1.0,1.0,,,,,,,
teen_birth_rate,"Number of births per 1,000 female population ages 15-19",0,1,0,0,continuous,0,0,0,0,1,0,RWJF,0.0,1.0,,,5.0,8.0,0.035,0.9506862445838228,0.03919372900335947
violent_crime_rate,"Number of reported violent crime offenses per 100,000 population",0,1,0,0,continuous,0,1,0,0,0,0,RWJF,0.0,1.0,,,2.0,11.0,0.024,0.9601917555501288,0.02718006795016987
frac_coll_plus2010,Percentage of people aged 25 or older who have at least a Bachelor's degree,1,0,0,0,percentage,0,0,1,0,0,0,Opportunity Atlas,1.0,,,,,,,,
rent_twobed2015,Median gross rent for renter-occupied housing units with two bedrooms that pay cash rent,1,0,0,0,continuous,0,0,0,0,0,0,Opportunity Atlas,,,,,,,,,
traveltime15_2010,Share of workers 16 years and over who do not work at home whose commute is shorter than 15 minutes,1,0,0,0,percentage,0,1,0,0,0,0,Opportunity Atlas,1.0,,,,,,,,
ann_avg_job_growth_2004_2013,Average annualized job growth rate over the time period 2004 to 2013,1,0,0,0,percentage,1,0,0,0,0,0,Opportunity Atlas,1.0,,,,1.0,4.0,0.094,-0.97152797613025,0.12020460358056267
pct_staying_in_same_tract_as_adults_rp_gp_pall,Fraction of children who grew up in this area who in 2015 still live in the same census tract,1,0,0,0,percentage,0,0,0,0,0,0,Opportunity Atlas,,,"Do we think it's good or bad for a high percentage of people to stay in the same census tract as adults? I think I had good originally, indicating a strong sense of community. However, a higher percentage could also mean that economic mobility is really poor and they are unable to leave to seek better opportunities for financial reasons. Removed since no clear directionality",,,,,,
race_estimate_total_american_indian_and_alaska_native_alone,% American Indian or Alaskan Native,1,0,0,0,percentage,0,0,0,0,0,0,ACS,,,,,,,,,
race_estimate_total_asian_alone,% Asian,1,0,0,0,percentage,0,0,0,0,0,0,ACS,,,,,,,,,
race_estimate_total_black_or_african_american_alone,% Black or African American,1,0,0,0,percentage,0,0,0,0,0,0,ACS,,,,,,,,,
race_estimate_total_native_hawaiian_and_other_pacific_islander_alone,% Native Hawaiian or Pacific Islander,1,0,0,0,percentage,0,0,0,0,0,0,ACS,,,,,,,,,
race_estimate_total_some_other_race_alone,% Other race,1,0,0,0,percentage,0,0,0,0,0,0,ACS,,,,,,,,,
race_estimate_total_two_or_more_races,% Two or More races,1,0,0,0,percentage,0,0,0,0,0,0,ACS,,,,,,,,,
race_estimate_total_white_alone,% White,1,0,0,0,percentage,0,0,0,0,0,0,ACS,,,,,,,,,
pct_only_english,% Speak Only English,1,0,0,0,percentage,0,0,0,0,0,0,ACS,,,,,,,,,
pct_other_languages,% Speak Language other than English,1,0,0,0,percentage,0,0,0,0,0,0,ACS,,,,,,,,,
median_income,Median Household Income,1,0,0,0,continuous,1,0,0,0,0,0,ACS,1.0,,,,,,,,
gini_index_of_income_inequality_estimate_gini_index,Gini Index of Income Inequality,1,0,0,0,continuous,0,0,0,0,1,0,ACS,0.0,,,,5.0,4.0,0.09,-0.954441001926428,0.1007838745800672
mean_hours,Mean Hours Worked in past year,1,0,0,0,continuous,0,0,0,0,0,0,ACS,,,"No directionality, so can't be used in a score",,,,,,
pct_vacant,% Vacant housing units,0,1,0,0,percentage,0,1,0,0,0,0,ACS,0.0,,,,,,,,
median_value,Median value of owner-occupied housing units,1,0,0,0,continuous,0,1,0,0,0,0,ACS,1.0,,,,,,,,
association_rate,"Number of membership associations per 10,000 people",0,1,0,0,rate,0,0,0,0,1,0,RWJF,1.0,1.0,,,5.0,2.0,0.106,-0.956748747102057,0.1187010078387458
medicare_avg_age,Medicare Average Age,1,0,0,0,continuous,0,0,0,0,0,0,CMS,,,,,,,,,
medicare_pct_female,Medicare % Female,1,0,0,0,percentage,0,0,0,0,0,0,CMS,,,,,,,,,
medicare_avg_hcc,Medicare Average HCC,1,0,0,0,continuous,0,0,0,0,0,0,CMS,,,,,,,,,
medicare_std_adj_cost_pp,Medicare Standardized Adjusted Cost per Person,0,1,0,0,continuous,1,0,0,0,0,1,CMS,0.0,1.0,,,,,,,
pct_medicare_beneficiaries,% Medicare Beneficiaries,1,0,0,0,percentage,0,0,0,0,0,0,CMS,,,,,,,,,
med_2br_rent_per_med_inc,Median gross rent for renter-occupied housing units with two bedrooms that pay cash rent divided by median household income,1,0,0,0,percentage,0,1,0,0,0,0,ACS & Opportunity Atlas,0.0,,,,2.0,9.0,0.041,-0.9604521413438628,0.04643261608154019
walk_score,Walkability,0,1,0,0,continuous,0,1,0,0,0,0,Walkscore.com,1.0,1.0,,,2.0,10.0,0.034,-0.960187202063428,0.03850509626274065
diabetes_incidence_2016,"Age-adjusted newly diagnosed diabetes rate per 1,000 people, 2016",0,0,1,0,rate,0,0,0,0,0,0,CDC,0.0,,,,,,,,
diabetes_prevalence_2016,"Age-adjusted diagnosed diabetes percentage, 2016",0,0,1,0,percentage,0,0,0,0,0,0,CDC,0.0,,,,,,,,
obesity_prevalence_2016,"Age-adjusted obesity percentage, 2016",0,0,1,0,percentage,0,0,0,0,0,0,CDC,0.0,,,,,,,,
diabetes_incidence_5_year_diff,"Difference in diabetes incidence rates, 2011 to 2016",0,0,1,0,rate,0,0,0,0,0,0,CDC,0.0,,,,,,,,
diabetes_prevalence_5_year_diff,"Difference in diabetes prevalence percentages, 2011-2016",0,0,1,0,percentage,0,0,0,0,0,0,CDC,0.0,,,,,,,,
obesity_prevalence_5_year_diff,"Difference in obesity prevalence percentages, 2011-2016",0,0,1,0,percentage,0,0,0,0,0,0,CDC,0.0,,,,,,,,
